unitcontent_id,wordsentence_id,english_words,french_words,spanish_words,german_words,hindi_words,gujarati_words,unitId
1,1,Good Morning,Bonjour,Buen día,Guten Morgen,शुभ प्रभात,સુપ્રભાત,1
2,1,Good Afternoon,Bon après-midi,Buenas tardes,Guten Tag,शुभ दोपहर,શુભ બપોર,1
3,1,Good Evening,Bonne soirée,Buenas noches,Guten Abend,शुभ संध्या,શુભ સાંજ,1
4,1,Good night,Bonne nuit,Buenas noches,Gute Nacht,शुभ रात्रि,શુભ રાત્રી,1
5,1,I am,Je suis,Soy,Ich bin,मैं हूँ,હું છું,1
6,1,You,Toi,Tú,Du,आप,તમે,1
7,1,He,Il,Él,Er,वह,તેમણે,1
8,1,She,Elle,Ella,Sie,वह,તેણીએ,1
9,1,We,Nous,Nosotros,Wir,हम,અમે,1
10,1,They,Ils,Ellos,Sie,वे,તેઓ,1
11,1,Girl,Fille,Chica,Mädchen,लड़की,છોકરી,1
12,1,Woman,Femme,Mujer,Frau,महिला,સ્ત્રી,1
13,1,Boy,Garçon,Chico,Junge,लड़का,છોકરો,1
14,1,Man,Homme,Hombre,Mann,आदमी,માણસ,1
15,1,Thank You,Merci,Gracias,Danke,धन्यवाद,આભાર,1
16,1,Please,S'il te plaît,Por favor,Bitte,कृपया,મહેરબાની કરીને,1
17,1,Yes,Oui,Sí,Ja,हाँ,હા,1
18,1,No,Non,No,NEIN,नहीं,ના,1
19,1,Is,Thé,Té,Tee,है,છે,1
20,1,Are,Café,Café,Kaffee,हैं,છે,1
21,1,Sorry,Boire,Beber,Trinken,क्षमा मांगना,માફ કરશો,1
22,2,Hello Paul,Salut Paul,Hola Paul,Hallo Paul,नमस्कार पॉल,હેલો પોલ,1
23,2,Goodbye julia,Au revoir Julia,Adiós Julia,Auf Wiedersehen Julia,अलविदा जूलिया,ગુડબાય જુલિયા,1
24,2,You are nice,Tu es gentil,Eres amable,Du bist nett,आप अच्छे हैं,તમે સારા છો,1
25,2,She is very tall,Elle est tres grande,Ella es muy alta,Sie ist sehr groß,वह बहुत लम्बी है,તેણી ખૂબ ઊંચી છે,1
